IssuerCompany,Subsector,Sector
Hathway Cable & Datacom Ltd,Media & Entertainment,Media & Communication
Healthcare Global Enterprises Ltd,Hospitals & Medical Services,Medical
Hilton Metal Forging Ltd,Castings & Forgings,Manufacturing
Hindustan Media Ventures Ltd,Media & Entertainment,Media & Communication
House of Pearl Fashions Ltd,Hotels,Lifestyle
Housing Development and Infrastructure Ltd,Hotels,Infrastructure
HOV Services Limited,Computers - Software Medium & Small,Computers
ICICI Bank Limited,Banks - Private Sector,Finance
ICRA Limited,Miscellaneous,Miscellaneous
Idea Cellular Limited,Telecommunications - Service,Media & Communication
IL&FS Transportation Networks Ltd,Computers - Software Medium & Small,Computers
Indiabulls Power Limited,Finance - Housing,Finance
Indian Bank,Banks - Public Sector,Finance
Indo Thai Securities Limited,Finance - General,Finance
Indosolar Ltd,Miscellaneous,Miscellaneous
Indowind Energy Limited,Power - Generation & Distribution,Power
Infibeam Incorporation Ltd,Miscellaneous,Miscellaneous
Infinite Computer Solutions India Ltd,Computers - Software,Computers
Info Edge India Ltd (Naukri.com),Miscellaneous,Miscellaneous
Inox Wind Limited,Power - Generation & Distribution,Power
Insecticides India Ltd,Pesticides & Agro Chemicals,Manufacturing
Interglobe Aviation Ltd,Transport & Logistics,Infrastructure
Intrasoft Technologies Limited,Miscellaneous,Miscellaneous
Inventure Growth & Securities Ltd,Finance - Investments,Finance
IRB Infrastructure Developers Ltd,Infrastructure - General,Infrastructure
J Kumar Infraprojects Limited,Construction & Contracting - Civil,Infrastructure
Jaypee Infratech Ltd,Infrastructure - General,Infrastructure
JHS Svendgaard Laboratories Ltd,Personal Care,Lifestyle
Jindal Cotex Limited,Textiles - Spinning - Cotton Blended,Lifestyle
JSW Energy Limited,Power - Generation & Distribution,Power
Jubilant Foodworks Ltd,Miscellaneous,Miscellaneous
Just Dial Ltd,Miscellaneous,Miscellaneous
Jyothi Laboratories Limited,Vanaspati & Oils,Food & Beverages
K.P.R. Mill Limited,Power - Transmission & Equipment,Power
Kaushalya Infrastructure Dev Corp Ltd,Construction & Contracting - Civil,Infrastructure
Kaveri Seed Company Limited,Miscellaneous,Miscellaneous
Kiri Dyes and Chemicals Limited,Miscellaneous,Miscellaneous
KLRF Limited,Food Processing,Food & Beverages
KNR Constructions Limited,Construction & Contracting - Civil,Infrastructure
Kolte-Patil Developers Limited,Construction & Contracting - Real Estate,Infrastructure
KSK Energy Ventures Ltd,Power - Generation & Distribution,Power
L&T Finance Holdings Limited,Finance - Investments,Finance
L.T. Overseas Limited,Finance - Investments,Finance
Lanco Infratech Limited,Infrastructure - General,Infrastructure
Lawreshwar Polymers Ltd,Leather Products,Manufacturing
Lotus Eye Care Hospital Limited,Hospitals & Medical Services,Medical
Lovable Lingeries Ltd,Textiles - Readymade Apparels,Lifestyle
Lumax Auto Technologies Ltd,Auto Ancillaries,Manufacturing
M and B Switchgears Ltd,Diamond Cutting & Jewellery & Precious Metals,Lifestyle
Magnum Ventures Limited,Paper,Manufacturing
Mahindra Holidays and Resorts India Ltd,Hotels,Lifestyle
Man Infraconstruction Ltd,Construction & Contracting - Civil,Infrastructure
Manaksia Limited,Aluminium,Metals & Mining
Mandhana Industries Limited,Textiles - General,Lifestyle
Manpasand Beverages Ltd,Food Processing,Food & Beverages
Maytas Infra Limited,Textiles - Readymade Apparels,Lifestyle
MBL Infrastructures Ltd,Construction & Contracting - Civil,Infrastructure
Meghmani Organics Limited,Pesticides & Agro Chemicals,Manufacturing
MEP Infrastructure Developers Ltd,Infrastructure - General,Infrastructure
MIC Electronics Limited,Telecommunications - Equipment,Media & Communication
Microsec Financial Services Ltd,Finance - General,Finance
MindTree Consulting Limited,Computers - Software,Computers
MOIL Limited,Mining & Minerals,Metals & Mining
Monte Carlo Fashions Limited,Textiles - Readymade Apparels,Lifestyle
Motilal Oswal Financial Services Ltd,Finance - General,Finance
MT Educare Limited,Computers - Software - Training,Computers
Mudra Lifestyle Limited,Telecommunications - Service,Media & Communication
Multi Commodity Exchange of India Ltd,Construction & Contracting - Civil,Infrastructure
Mundra Port and Special Economic Zone Ltd,Plastics,Manufacturing
Muthoot Finance Ltd,Finance - Investments,Finance
Narayana Hrudayalaya Ltd,Hospitals & Medical Services,Medical
National Buildings Construction Corporation Ltd,Paper,Manufacturing
Navkar Corporation Limited,Transport & Logistics,Infrastructure
Nelcast Limited,Castings & Forgings,Manufacturing
NHPC Limited,Power - Generation & Distribution,Power
Niraj Cement Structurals Ltd,Construction & Contracting - Civil,Infrastructure
Nitesh Estates Limited,Construction & Contracting - Real Estate,Infrastructure
Nitin Fire Protection Industries Ltd,Miscellaneous,Miscellaneous
NMDC Limited,Mining & Minerals,Metals & Mining
NTPC Limited,Power - Generation & Distribution,Power
Nu Tek India Limited,Telecommunications - Service,Media & Communication
Oberoi Realty Ltd,Construction & Contracting - Real Estate,Infrastructure
Oil India Limited,Oil Drilling And Exploration,Metals & Mining
Olympic Cards Ltd,Printing & Stationery,Manufacturing
Omaxe Limited,Construction & Contracting - Real Estate,Infrastructure
Omkar Speciality Chemicals Ltd,Chemicals,Manufacturing
Omnitech InfoSolutions Limited,Computers - Software Medium & Small,Computers
Onelife Capital Advisors Ltd,Finance - Investments,Finance
OnMobile Global Limited,Computers - Software Medium & Small,Computers
Orbit Corporation Limited,Construction & Contracting - Real Estate,Infrastructure
Orient Green Power Company Ltd,Power - Generation & Distribution,Power
Oriental Trimex Limited,Ceramics & Granite,Infrastructure
Ortel Communications Ltd,Media & Entertainment,Media & Communication
Page Industries Ltd (Jockey India),Textiles - Readymade Apparels,Lifestyle
Parabolic Drugs Limited,Pharmaceuticals,Medical
Paramount Printpackaging Ltd,Packaging,Manufacturing
Parsvnath Developers Limited,Construction & Contracting - Real Estate,Infrastructure
PC Jeweller Ltd,Diamond Cutting & Jewellery & Precious Metals,Lifestyle
Pennar Engineered Building Systems Ltd,Miscellaneous,Miscellaneous
Persistent Systems Limited,Computers - Software,Computers
PG Electroplast Limited,Consumer Goods - Electronic,Manufacturing
Pipavav Shipyard Limited,Finance - Leasing & Hire Purchase,Finance
PNC Infratech Limited,Construction & Contracting - Real Estate,Infrastructure
Pochiraju Industries Limited,Miscellaneous,Miscellaneous
Porwal Auto Components Limited,Auto Ancillaries,Manufacturing
Power Finance Corporation Ltd,Finance - Term Lending Institutions,Finance
Power Finance Corporation Ltd.,Finance - Term Lending Institutions,Finance
Power Grid Corporation of India,Power - Generation & Distribution,Power
Power Grid Corporation of India Ltd,Power - Generation & Distribution,Power
Power Grid Corporation of India Ltd.,Power - Generation & Distribution,Power
Power Mech Projects Ltd,Infrastructure - General,Infrastructure
Prabhat Dairy Limited,Food Processing,Food & Beverages
Prakash Constrowell Ltd,Construction & Contracting - Civil,Infrastructure
Prakash Steelage Ltd,Steel - Tubes & Pipes,Manufacturing
Precision Camshafts Ltd,Auto Ancillaries,Manufacturing
Precision Pipes and Profiles Company Ltd,Telecommunications - Equipment,Media & Communication
Prestige Estates Projects Ltd,Construction & Contracting - Real Estate,Infrastructure
PTC India Financial Services Ltd,Finance - Term Lending Institutions,Finance
Punjab & Sind Bank,Banks - Public Sector,Finance
Puravankara Projects Limited,Construction & Contracting - Real Estate,Infrastructure
Quick Heal Technologies Ltd,Computers - Software,Computers
Raj Oil Mills Limited,Edible Oils & Solvent Extraction,Food & Beverages
Raj Television Network Ltd,Media & Entertainment,Media & Communication
Ramky Infrastructure Ltd,Construction & Contracting - Civil,Infrastructure
Rathi Bars Ltd,Steel - Medium & Small,Metals & Mining
Ravi Kumar Distilleries Ltd,Breweries & Distilleries,Lifestyle
RDB Rasayans Ltd,Packaging,Manufacturing
Readymade Steel India Ltd,Construction & Contracting - Real Estate,Infrastructure
Redington (India) Limited,Computers - Hardware,Computers
Refex Refrigerants Limited,Chemicals,Manufacturing
Reliance Power Limited,Power - Generation & Distribution,Power
Religare Enterprises Limited,Finance - Investments,Finance
Renaissance Jewellery Limited,Diamond Cutting & Jewellery & Precious Metals,Lifestyle
Repco Home Finance Ltd,Finance - Housing,Finance
Resurgere Mines & Minerals India Ltd,Mining & Minerals,Metals & Mining
Richa Knits Limited,Textiles - General,Lifestyle
Rishabhdev Technocable Ltd,Cables - Power & Others,Manufacturing
Roman Tarmat Limited,Computers - Software,Computers
RPP Infra Projects Ltd,Construction & Contracting - Civil,Infrastructure
Ruchira Papers Limited,Paper,Manufacturing
Rural Electrification Corporation Ltd,Textiles - Hosiery & Knitwear,Lifestyle
Rural Electrification Corporation Ltd.,Textiles - Hosiery & Knitwear,Lifestyle
Rushil Decor Ltd,Miscellaneous,Miscellaneous
S H Kelkar & Company Ltd,Miscellaneous,Miscellaneous
Saamya Biotech India Ltd,Pharmaceuticals,Medical
Sadbhav Infrastructure Project Limited,Infrastructure - General,Infrastructure
Sanghvi Forging & Engineering Ltd,Castings & Forgings,Manufacturing
Sejal Architectural Glass Ltd,Hospitals & Medical Services,Medical
SEL Manufacturing Company Ltd,Hospitals & Medical Services,Medical
Sharda Cropchem Ltd,Pesticides & Agro Chemicals,Manufacturing
Shekhawati Poly-Yarn Ltd,Textiles - Manmade,Lifestyle
Shemaroo Entertainment Ltd,Media & Entertainment,Media & Communication
Shilpi Cable Technologies Ltd,Cables - Telephone,Media & Communication
Shipping Corporation of India Ltd,Shipping,Infrastructure
Shree Ganesh Jewellery House Ltd,Diamond Cutting & Jewellery & Precious Metals,Lifestyle
Shree Pushkar Chemicals and Fertilisers Ltd,Fertilisers,Manufacturing
Shriram EPC Limited,Engineering - Heavy,Power
Simplex Projects Limited,Construction & Contracting - Civil,Infrastructure
Sita Shree Food Products Ltd,Food Processing,Food & Beverages
SJVN Ltd (Satluj Jal Vidyut Nigam Ltd),Power - Generation & Distribution,Power
SKS Microfinance Ltd,Finance - General,Finance
SMS Pharmaceuticals Limited,Pharmaceuticals,Medical
Snowman Logistics Ltd,Transport & Logistics,Infrastructure
Sobha Developers Ltd,Construction & Contracting - Real Estate,Infrastructure
Somi Conveyor Beltings Limited,Rubber,Manufacturing
Speciality Restaurants Ltd,Hotels,Lifestyle
SRS Limited,Finance - General,Finance
Standard Chartered PLC,Auto Ancillaries,Manufacturing
Sudar Garments Ltd,Auto Ancillaries,Manufacturing
Supreme Infrastructure India Ltd,Construction & Contracting - Civil,Infrastructure
Suryachakra Power Corporation Ltd,Power - Generation & Distribution,Power
Syncom Healthcare Limited,Pharmaceuticals,Medical
Syngene International Ltd,Personal Care,Lifestyle
TAKE Solutions Limited,Computers - Software Medium & Small,Computers
Talwalkars Better value Fitness Ltd,Engineering,Manufacturing
Tanla Solutions Ltd,Computers - Software Medium & Small,Computers
Tara Jewels Limited,Diamond Cutting & Jewellery & Precious Metals,Lifestyle
Tarapur Transformers Limited,Power - Transmission & Equipment,Power
Tata Steel Ltd,Steel - Large,Metals & Mining
TD Power Systems Ltd,Engineering - Heavy,Power
TeamLease Services Ltd,Miscellaneous,Miscellaneous
Technocraft Industries (India) Ltd,Steel - Medium & Small,Metals & Mining
Technofab Engineering Ltd,Engineering,Manufacturing
Texmo Pipes & Products Ltd,Plastics,Manufacturing
Thinksoft Global Services Ltd,Infrastructure - General,Infrastructure
Thyrocare Technologies Ltd,Hospitals & Medical Services,Medical
Tijaria Polypipes Ltd,Plastics,Manufacturing
Time Technoplast Limited,Packaging,Manufacturing
Tirupati Inks Ltd,Printing & Stationery,Manufacturing
Titagarh Wagons Limited,Infrastructure - General,Infrastructure
Transformers and Rectifiers India Ltd,Power - Transmission & Equipment,Power
Transwarranty Finance Ltd,Finance - General,Finance
Tree House Education & Accessories Ltd,Computers - Software - Training,Computers
Tribhovandas Bhimji Zaveri Ltd,Diamond Cutting & Jewellery & Precious Metals,Lifestyle
Tulsi Extrusions Limited,Plastics,Manufacturing
