"","IssuerCompany","IssueOpenDate","IssueCloseDate","IssuePrice","IssueType","IssueSize","IPOYear"
"75","Motilal Oswal Financial Services Ltd",2007-08-20,2007-08-23,825,"BB",246.07,2007
"76","Indowind Energy Limited",2007-08-21,2007-08-24,65,"BB",81.25,2007
"77","Magnum Ventures Limited",2007-08-27,2007-08-30,30,"BB",52.92,2007
"78","Kaveri Seed Company Limited",2007-09-06,2007-09-11,170,"BB",68,2007
"79","Dhanus Technologies Limited",2007-09-10,2007-09-12,295,"BB",113.13,2007
"80","Power Grid Corporation of India Ltd.",2007-09-10,2007-09-13,52,"BB",NA,2007
"81","Koutons Retail India Limited",2007-09-18,2007-09-21,415,"BB",146.26,2007
"82","Consolidated Construction Consortium Ltd",2007-09-18,2007-09-21,510,"BB",188.7,2007
"83","Supreme Infrastructure India Ltd",2007-09-21,2007-09-26,108,"BB",37.53,2007
"84","Saamya Biotech India Ltd",2007-09-25,2007-09-28,10,"FP",15,2007
"85","Maytas Infra Limited",2007-09-27,2007-10-04,370,"BB",327.45,2007
"86","Circuit Systems (India) Ltd",2007-09-27,2007-10-05,35,"FP",14.86,2007
"87","Rathi Bars Ltd",2007-10-18,2007-10-23,35,"FP",25,2007
"88","Allied Computers International (Asia) Ltd",2007-10-19,2007-10-23,12,"FP",6,2007
"89","SVPCL Limited",2007-10-22,2007-10-26,NA,"BB",NA,2007
"90","Varun Industries Limited",2007-10-25,2007-10-31,60,"FP",54,2007
"91","Barak Valley Cements Ltd",2007-10-29,2007-11-01,42,"BB",23.77,2007
"92","Religare Enterprises Limited",2007-10-29,2007-11-01,185,"BB",140.16,2007
"93","Mundra Port and Special Economic Zone Ltd",2007-11-01,2007-11-07,440,"BB",NA,2007
"94","Empee Distilleries Limited",2007-11-01,2007-11-06,400,"BB",192,2007
"95","Edelweiss Capital Limited",2007-11-15,2007-11-20,825,"BB",691.86,2007
"96","Kolte-Patil Developers Limited",2007-11-19,2007-11-22,145,"BB",275.51,2007
"97","Renaissance Jewellery Limited",2007-11-19,2007-11-21,150,"BB",79.86,2007
"98","Kaushalya Infrastructure Dev Corp Ltd",2007-11-20,2007-11-23,60,"BB",51,2007
"99","Jyothi Laboratories Limited",2007-11-22,2007-11-27,690,"BB",305.69,2007
"100","Burnpur Cement Limited",2007-11-28,2007-12-03,12,"FP",26.28,2007
"101","eClerx Services Limited",2007-12-04,2007-12-07,315,"BB",101,2007
"102","BGR Energy Systems Limited",2007-12-05,2007-12-12,480,"BB",438.53,2007
