"","LMName","IssuerCompany","NewLMName"
"541","India Infoline Limited","Healthcare Global Enterprises Ltd","Others"
"542","India Infoline Limited","Precision Camshafts Ltd","Others"
"543","India Infoline Limited","Manpasand Beverages Ltd","Others"
"544","India Infoline Limited","Talwalkars Better value Fitness Ltd","Others"
"545","India Infoline Limited","Infinite Computer Solutions India Ltd","Others"
"546","India Infoline Limited","Cox and Kings (India) Limited","Others"
"547","Nomura Financial Advisory And Securities (India) P","Alkem Laboratories Limited","Others"
"548","Nomura Financial Advisory And Securities (India) P","IL&FS Transportation Networks Ltd","Others"
"549","Nomura Financial Advisory And Securities (India) P","Godrej Properties Limited","Others"
"550","Comfort Securities Pvt Ltd","Ravi Kumar Distilleries Ltd","Others"
"551","Comfort Securities Pvt Ltd","Tarapur Transformers Limited","Others"
"552","Atherstone Capital Markets Limited","Onelife Capital Advisors Ltd","Others"
"553","Atherstone Capital Markets Limited","Midfield Industries Ltd","Others"
"554","Goldman Sachs (India) Securities Private Limited","Healthcare Global Enterprises Ltd","Others"
"555","Goldman Sachs (India) Securities Private Limited","Orient Green Power Company Ltd","Others"
"556","Hem Securities Limited","Tijaria Polypipes Ltd","Others"
"557","Hem Securities Limited","Shekhawati Poly-Yarn Ltd","Others"
"558","Aryaman Financial Services limited","VKS Projects Ltd","Others"
"559","Aryaman Financial Services limited","Midvalley Entertainment Ltd","Others"
"560","Standard Chartered Securities (India) Limited","Bharti Infratel Limited","Others"
"561","Indbank Merchant Banking Services Limited","Rushil Decor Ltd","Others"
"562","Indbank Merchant Banking Services Limited","Fineotex Chemical Ltd","Others"
"563","D and A Financial Services Private Ltd","M and B Switchgears Ltd","Others"
"564","D and A Financial Services Private Ltd","Brooks Laboratories Ltd","Others"
"565","D and A Financial Services Private Ltd","Shilpi Cable Technologies Ltd","Others"
"566","HDFC Bank Limited","Precision Camshafts Ltd","Others"
"567","HDFC Bank Limited","Snowman Logistics Ltd","Others"
"568","HDFC Bank Limited","Bharti Infratel Limited","Others"
"569","HDFC Bank Limited","Muthoot Finance Ltd","Others"
"570","Onelife Capital Advisors Pvt Ltd","Paramount Printpackaging Ltd","Others"
"571","Avendus Capital Pvt Ltd","Tribhovandas Bhimji Zaveri Ltd","Others"
"572","Avendus Capital Pvt Ltd","Innoventive Industries Ltd","Others"
"573","Indian Overseas Bank","Servalakshmi Paper Ltd","Others"
"574","Arihant Capital Markets Ltd","Readymade Steel India Ltd","Others"
"575","Arihant Capital Markets Ltd","Birla Pacific Medspa Ltd","Others"
"576","Arihant Capital Markets Ltd","Sanghvi Forging & Engineering Ltd","Others"
"577","Corporate Strategic Allianz Ltd","Indo Thai Securities Limited","Others"
"578","Corporate Strategic Allianz Ltd","Rushil Decor Ltd","Others"
"579","Corporate Strategic Allianz Ltd","Timbor Home Limited","Others"
"580","PNB Investment Services Ltd","Taksheel Solutions Ltd","Others"
"581","Barclays Securities (India) Private Limited","Interglobe Aviation Ltd","Others"
"582","Barclays Securities (India) Private Limited","Bharti Infratel Limited","Others"
"583","Anand Rathi Advisors Ltd","V-Mart Retail Ltd","Others"
"584","Credit Suisse Securities (India) Private Limited","TeamLease Services Ltd","Others"
"585","Credit Suisse Securities (India) Private Limited","Syngene International Ltd","Others"
"586","Jefferies India Private Limited","Quick Heal Technologies Ltd","Others"
"587","Jefferies India Private Limited","Narayana Hrudayalaya Ltd","Others"
"588","Jefferies India Private Limited","Syngene International Ltd","Others"
"589","Axis Capital Limited","Ujjivan Financial Services Ltd","Others"
"590","Axis Capital Limited","Alkem Laboratories Limited","Others"
"591","IDFC Securities Limited","Healthcare Global Enterprises Ltd","Others"
"592","IDFC Securities Limited","TeamLease Services Ltd","Others"
"593","IDFC Securities Limited","Narayana Hrudayalaya Ltd","Others"
"594","Elara Capital (India) Private","Infibeam Incorporation Ltd","Others"
