Year Results MVP 
1917 Chicago White Sox 4, NY Giants 2 -- 
1916 Boston Red Sox 4, Brooklyn 1 -- 
1915 Boston Red Sox 4, Philadelphia Phillies 1 -- 
1914 Boston Braves 4, Philadelphia A's 0 -- 
1913 Philadelphia A's 4, NY Giants 1 -- 
1912 Boston Red Sox 4, NY Giants 3 (one tie) -- 
1911 Philadelphia A's 4, NY Giants 2 -- 
1910 Philadelphia A's 4, Chicago Cubs 1 -- 
 

Year Results MVP 
1909 Pittsburgh 4, Detroit 3 -- 
1908 Chicago Cubs 4, Detroit 1 -- 
1907 Chicago Cubs 4, Detroit 0 (one tie) -- 
1906 Chicago White Sox 4, Chicago Cubs 2 -- 
1905 NY Giants 4, Philadelphia A's 1 -- 
1904 Not Held N/A 
1903 Boston Red Sox 5, Pittsburgh 3 -- 
 
